DX,MES
107.205,3995.0
107.22,3993.75
107.215,3994.75
107.26,3994.5
107.265,3995.0
107.305,3994.75
107.28,3995.25
107.25,3995.5
107.25,3996.5
107.245,3996.75
107.24,3997.5
107.245,3998.0
107.255,3997.0
107.25,3997.75
107.25,3999.0
107.255,3998.0
107.24,3999.25
107.25,3999.0
107.275,3999.0
107.27,3999.25
107.275,3999.0
107.29,3999.5
107.275,4000.0
107.25,3999.75
107.25,4002.75
107.25,4002.5
107.245,3995.0
107.25,3992.0
107.25,3992.25
107.26,3991.25
107.27,3994.75
107.27,3998.0
107.275,3998.0
107.295,4001.0
107.285,3998.75
107.28,3996.5
107.28,3996.0
107.25,3995.25
107.255,3997.25
107.25,3994.25
107.275,3994.5
107.285,3992.75
107.28,3988.5
107.26,3988.25
107.25,3990.0
107.26,3990.75
107.265,3989.75
107.275,3989.5
107.26,3989.5
107.3,3988.5
107.295,3984.75
107.29,3986.0
107.275,3987.75
107.265,3986.75
107.275,3987.5
107.28,3989.75
107.27,3989.75
107.265,3988.0
107.275,3989.5
107.27,3991.5
107.28,3989.75
107.27,3988.25
107.245,3986.25
107.245,3986.75
107.27,3983.25
107.27,3981.5
107.255,3979.75
107.285,3979.0
107.285,3979.75
107.325,3979.75
107.3,3980.5
107.3,3980.5
107.31,3980.5
107.29,3978.5
107.29,3980.25
107.275,3977.25
107.26,3974.75
107.27,3974.5
107.25,3975.75
107.255,3974.5
107.26,3973.75
107.27,3976.0
107.255,3976.0
107.29,3972.0
107.275,3974.0
107.245,3973.0
